id,model_type,arquitectura,clase,descargas,capas,ancho,cabezas,kv,ffn,vocab,rope,rmsnorm,glu,gqa,moe,params_entrada,params_bloque,params_predichos,params_reales
facebook/dinov2-small,dinov2,Dinov2Model,vision,4348092,,,,,,,0,0,0,0,0,,,,22056576
Qwen/Qwen3-Coder-Next-FP8,qwen3_next,Qwen3NextForCausalLM,moe,1709879,48,2048,16,2,5120,151936,1,1,1,1,1,622329856,77812924416,78435254272,79679212800
BAAI/bge-m3,xlm-roberta,XLMRobertaModel,encoder_texto,37962240,24,1024,16,16,4096,250002,0,0,0,0,0,264393728,302039040,566432768,
zai-org/GLM-4.7-Flash,glm4_moe_lite,Glm4MoeLiteForCausalLM,moe,1915940,47,2048,20,20,10240,154880,1,1,1,0,1,634388480,29180391424,29814779904,31221488576
sahilchachra/Unlimited-OCR-AWQ,unlimited-ocr,UnlimitedOCRForCausalLM,moe,1331935,12,1280,10,10,6848,129280,1,1,1,0,1,337184000,2722068480,3059252480,3356377127
TinyLlama/TinyLlama-1.1B-Chat-v1.0,llama,LlamaForCausalLM,lenguaje_denso,1663874,22,2048,32,4,5632,32000,1,1,1,1,0,131072000,968974336,1100046336,1100048384
jonatasgrosman/wav2vec2-large-xlsr-53-hungarian,wav2vec2,Wav2Vec2ForCTC,audio,2826445,24,1024,16,16,4096,41,0,0,0,0,0,41984,302039040,302081024,
unslothai/1,llama,LlamaModel,encoder_texto,1011017,,,,,,,1,1,1,0,0,,,,0
sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,qwen3_5,Qwen3_5ForConditionalGeneration,encoder_texto,970879,64,5120,24,4,17408,248320,1,1,1,1,0,2542796800,21027225600,23570022400,16667329536
openbmb/MiniCPM5-1B,llama,LlamaForCausalLM,lenguaje_denso,715869,24,1536,16,2,4608,130560,1,1,1,1,0,401080320,637083648,1038163968,1080632832
mlx-community/Llama-3.1-8B-Instruct-4bit,llama,LlamaForCausalLM,lenguaje_denso,738239,32,4096,32,8,14336,128256,1,1,1,1,0,1050673152,6979584000,8030257152,8030261248
